ExhibitionTitle,Date,ExhibitionURL,DisplayName,Nationality,ConstituentBeginDate,ConstituentEndDate,Gender,ConstituentURL
Good Design,1950,moma.org/calendar/exhibitions/1714,Greta Von Nessen,American,1900,1978,Female,moma.org/artists/4267
Good Design,1950,moma.org/calendar/exhibitions/1714,Marie Nichols,,,,,moma.org/artists/65220
Good Design,1950,moma.org/calendar/exhibitions/1714,Gunnel Nyman,Finnish,1909,1948,Male,moma.org/artists/4352
Good Design,1950,moma.org/calendar/exhibitions/1714,E. G. Ostrom,,,,,moma.org/artists/61694
Good Design,1950,moma.org/calendar/exhibitions/1714,Glidden Parker,,,,,moma.org/artists/66230
Good Design,1950,moma.org/calendar/exhibitions/1714,Ronald Hayes Pearson,American,1924,1996,Male,moma.org/artists/4532
Good Design,1950,moma.org/calendar/exhibitions/1714,Russell Phelon,,,,,moma.org/artists/62829
Good Design,1950,moma.org/calendar/exhibitions/1714,Gio Ponti,Italian,1891,1979,Male,moma.org/artists/4688
Good Design,1950,moma.org/calendar/exhibitions/1714,Paul Rand,American,1914,1996,Male,moma.org/artists/4809
Good Design,1950,moma.org/calendar/exhibitions/1714,Reinecke,,,,,moma.org/artists/11037
Good Design,1950,moma.org/calendar/exhibitions/1714,Johan Rohde,Danish,1856,1935,Male,moma.org/artists/64198
Good Design,1950,moma.org/calendar/exhibitions/1714,Bernard Rudofsky,American,1905,1988,,moma.org/artists/36032
Good Design,1950,moma.org/calendar/exhibitions/1714,William J. Russell,American,,,Male,moma.org/artists/34310
Good Design,1950,moma.org/calendar/exhibitions/1714,Eero Saarinen,American,1910,1961,Male,moma.org/artists/5103
Good Design,1950,moma.org/calendar/exhibitions/1714,Joseph Salerno,,,,,moma.org/artists/61695
Good Design,1950,moma.org/calendar/exhibitions/1714,C. Samson,,,,,moma.org/artists/62404
Good Design,1950,moma.org/calendar/exhibitions/1714,Harold Sitterle,American,1921,1993,Male,moma.org/artists/5459
Good Design,1950,moma.org/calendar/exhibitions/1714,Trudi Sitterle,American,1921,2001,Female,moma.org/artists/5460
Good Design,1950,moma.org/calendar/exhibitions/1714,"Robert W. Smith, Jr.",,,,,moma.org/artists/62410
Good Design,1950,moma.org/calendar/exhibitions/1714,Sidney Spielman,,,,,moma.org/artists/62400
Good Design,1950,moma.org/calendar/exhibitions/1714,Edward Durell Stone,American,1902,1978,Male,moma.org/artists/5676
Good Design,1950,moma.org/calendar/exhibitions/1714,Fred Storm,,,,,moma.org/artists/62403
Good Design,1950,moma.org/calendar/exhibitions/1714,Marianne Strengell,American,1909,1998,Female,moma.org/artists/5692
Good Design,1950,moma.org/calendar/exhibitions/1714,Pipsan Saarinen Swanson,,,,,moma.org/artists/66311
Good Design,1950,moma.org/calendar/exhibitions/1714,Ilmari Tapiovaara,,,,,moma.org/artists/61693
Good Design,1950,moma.org/calendar/exhibitions/1714,Walter Taylor,,,,,moma.org/artists/62382
Good Design,1950,moma.org/calendar/exhibitions/1714,Gerald E. Thurston,,,,,moma.org/artists/64196
Good Design,1950,moma.org/calendar/exhibitions/1714,Edward J. Towns,,,,,moma.org/artists/62395
